word,ipa,definition,example,category,difficulty,user_id
"Ecofriendly","/ˌiː.kəʊˈfrend.li/","Thân thiện với môi trường.","We should use ecofriendly products.","Environment","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Ecosystem","/ˈiː.kəʊˌsɪs.təm/","Hệ sinh thái.","Pollution damages the marine ecosystem.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Emission","/iˈmɪʃ.ən/","Khí thải.","We need to reduce carbon emissions.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Endangered","/ɪnˈdeɪn.dʒəd/","Có nguy cơ tuyệt chủng.","The panda is an endangered species.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Extinction","/ɪkˈstɪŋk.ʃən/","Sự tuyệt chủng.","Many species face extinction.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Fossil fuel","/ˈfɒs.əl ˌfjuː.əl/","Nhiên liệu hóa thạch.","Burning fossil fuels causes global warming.","Environment","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Global warming","/ˌɡləʊ.bəl ˈwɔː.mɪŋ/","Sự nóng lên toàn cầu.","Global warming leads to rising sea levels.","Environment","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Habitat","/ˈhæb.ɪ.tæt/","Môi trường sống tự nhiên.","The jungle is the natural habitat of the tiger.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Pollutant","/pəˈluː.tənt/","Chất gây ô nhiễm.","Chemical pollutants are harmful to fish.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Renewable energy","/rɪˈnjuː.ə.bəl ˈen.ə.dʒi/","Năng lượng tái tạo.","Solar power is a form of renewable energy.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Sustainability","/səˌsteɪ.nəˈbɪl.ə.ti/","Sự bền vững.","Sustainability is a core value of our company.","Environment","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Toxic","/ˈtɒk.sɪk/","Độc hại.","Toxic waste must be disposed of carefully.","Environment","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Waste disposal","/weɪst dɪˈspəʊ.zəl/","Xử lý rác thải.","Efficient waste disposal is essential for cities.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Recycle","/ˌriːˈsaɪ.kəl/","Tái chế.","We should recycle paper and plastic.","Environment","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Bankruptcy","/ˈbæŋ.krʌpt.si/","Sự phá sản.","The company declared bankruptcy last year.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Bureaucracy","/bjʊəˈrɒk.rə.si/","Quan liêu/Thủ tục hành chính rườm rà.","Excessive bureaucracy slows down business operations.","Business","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Commodity","/kəˈmɒd.ə.ti/","Hàng hóa.","Oil is a valuable commodity.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Consumer","/kənˈsjuː.mər/","Người tiêu dùng.","Consumer confidence is rising.","Business","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Corporation","/ˌkɔː.pərˈeɪ.ʃən/","Tập đoàn.","Multinational corporations have great power.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Currency","/ˈkʌr.ən.si/","Tiền tệ.","The Euro is a strong currency.","Business","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Entrepreneur","/ˌɒn.trə.prəˈnɜːr/","Doanh nhân/Người khởi nghiệp.","He is a successful tech entrepreneur.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Fiscal","/ˈfɪs.kəl/","Thuộc về tài chính công/ngân sách.","The government announced its fiscal policy.","Business","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Inflation","/ɪnˈfleɪ.ʃən/","Lạm phát.","High inflation reduces purchasing power.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Investment","/ɪnˈvest.mənt/","Sự đầu tư.","Foreign investment is key to growth.","Business","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Lucrative","/ˈluː.krə.tɪv/","Sinh lợi, kiếm ra nhiều tiền.","He has a lucrative business selling software.","Business","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Market share","/ˈmɑː.kɪt ʃeər/","Thị phần.","The company aims to increase its market share.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Merger","/ˈmɜː.dʒər/","Sự sáp nhập (công ty).","The merger of the two banks was successful.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Monopoly","/məˈnɒp.əl.i/","Sự độc quyền.","The government wants to break up the monopoly.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Outsource","/ˈaʊt.sɔːs/","Thuê ngoài.","We outsource our IT support to India.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Productivity","/ˌprɒd.ʌkˈtɪv.ə.ti/","Năng suất.","New tools improved worker productivity.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Recession","/rɪˈseʃ.ən/","Suy thoái kinh tế.","The economy is entering a recession.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Retail","/ˈriː.teɪl/","Bán lẻ.","The retail industry is changing rapidly.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Revenue","/ˈrev.ən.juː/","Doanh thu.","Tax revenue has increased this year.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Shareholder","/ˈʃeəˌhəʊl.dər/","Cổ đông.","Shareholders voted on the new proposal.","Business","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Academic","/ˌæk.əˈdem.ɪk/","Thuộc về học thuật.","He has a brilliant academic career.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Assignment","/əˈsaɪn.mənt/","Bài tập lớn.","The assignment is due next Friday.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Bachelor's degree","/ˌbætʃ.əl.əz dɪˈɡriː/","Bằng cử nhân.","He holds a bachelor's degree in engineering.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Curriculum","/kəˈrɪk.jə.ləm/","Chương trình giảng dạy.","The school curriculum includes coding.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Dissertation","/ˌdɪs.əˈteɪ.ʃən/","Luận văn (thạc sĩ/tiến sĩ).","She is writing her dissertation on AI.","Education","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Distance learning","/ˌdɪs.təns ˈlɜː.nɪŋ/","Học từ xa.","Distance learning is becoming more popular.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Enroll","/ɪnˈrəʊl/","Ghi danh/Nhập học.","You need to enroll before the semester starts.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Extracurricular","/ˌek.strə.kəˈrɪk.jə.lər/","Ngoại khóa.","Football is a popular extracurricular activity.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Graduate","/ˈɡrædʒ.u.ət/","Tốt nghiệp (hoặc người tốt nghiệp).","He is a graduate of Oxford University.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Illiteracy","/ɪˈlɪt.ər.ə.si/","Nạn mù chữ.","The government is fighting illiteracy.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Knowledge","/ˈnɒl.ɪdʒ/","Kiến thức.","Knowledge is power.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Lecturer","/ˈlek.tʃər.ər/","Giảng viên đại học.","The lecturer explained the theory clearly.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Literacy","/ˈlɪt.ər.ə.si/","Khả năng đọc viết.","Literacy rates have improved significantly.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Master's degree","/ˈmɑː.stəz dɪˈɡriː/","Bằng thạc sĩ.","She has a master's degree in Economics.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Plagiarism","/ˈpleɪ.dʒər.ɪ.zəm/","Đạo văn.","Plagiarism leads to expulsion from the university.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Qualification","/ˌkwɒl.ɪ.fɪˈkeɪ.ʃən/","Bằng cấp/Chứng chỉ.","You need a teaching qualification to work here.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Research","/rɪˈsɜːtʃ/","Nghiên cứu.","Scientific research requires patience.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Scholarship","/ˈskɒl.ə.ʃɪp/","Học bổng.","He won a scholarship to study in the US.","Education","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Tuition fees","/tjuːˈɪʃ.ən fiːz/","Học phí.","Tuition fees have risen sharply.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Vocational","/vəʊˈkeɪ.ʃən.əl/","Thuộc về nghề nghiệp/Học nghề.","Vocational training prepares students for jobs.","Education","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Adolescence","/ˌæd.əˈles.əns/","Thời thanh thiếu niên.","Adolescence is a time of great change.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Anxiety","/æŋˈzaɪ.ə.ti/","Sự lo âu.","Public speaking causes anxiety for many people.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Behavior","/bɪˈheɪ.vjər/","Hành vi.","His behavior was unacceptable.","Psychology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Cognitive","/ˈkɒɡ.nə.tɪv/","Thuộc về nhận thức (não bộ).","Puzzles can improve cognitive function.","Psychology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Conscious","/ˈkɒn.ʃəs/","Có ý thức.","He was conscious of being watched.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Depression","/dɪˈpreʃ.ən/","Trầm cảm.","Depression is a serious mental illness.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Emotion","/ɪˈməʊ.ʃən/","Cảm xúc.","Fear is a powerful emotion.","Psychology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Extrovert","/ˈek.strə.vɜːt/","Người hướng ngoại.","Extroverts enjoy being around people.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Instinct","/ˈɪn.stɪŋkt/","Bản năng.","Birds migrate by instinct.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Introvert","/ˈɪn.trə.vɜːt/","Người hướng nội.","Introverts prefer quiet environments.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Memory","/ˈmem.ər.i/","Trí nhớ.","He has a photographic memory.","Psychology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Mental health","/ˌmen.təl ˈhelθ/","Sức khỏe tâm thần.","Taking care of your mental health is vital.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Motivation","/ˌməʊ.tɪˈveɪ.ʃən/","Động lực.","Money is a strong motivation for many.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Personality","/ˌpɜː.sənˈæl.ə.ti/","Tính cách.","She has a very friendly personality.","Psychology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Perception","/pəˈsep.ʃən/","Sự nhận thức/Quan điểm.","Public perception of the brand has changed.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Psychology","/saɪˈkɒl.ə.dʒi/","Tâm lý học.","She is studying psychology at university.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Subconscious","/ˌsʌbˈkɒn.ʃəs/","Tiềm thức.","Dreams may reveal our subconscious fears.","Psychology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Therapy","/ˈθer.ə.pi/","Liệu pháp điều trị.","Art therapy helps patients express feelings.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Trait","/treɪt/","Đặc điểm (tính cách).","Honesty is a desirable trait.","Psychology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Trauma","/ˈtrɔː.mə/","Chấn thương tâm lý.","Childhood trauma can have lasting effects.","Psychology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
