word,ipa,definition,example,category,difficulty,user_id
"Classify as","/ˈklæs.ɪ.faɪ æz/","Được phân loại là.","Patients with a BMI over 25 are classified as overweight.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Overweight","/ˌəʊ.vəˈweɪt/","Thừa cân (Tính từ).","The number of overweight children is increasing.","Health","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Rate","/reɪt/","Tỷ lệ (thay thế cho percentage/figure).","The unemployment rate fell last year.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Consistently","/kənˈsɪs.tənt.li/","Một cách nhất quán, liên tục.","Women consistently outperformed men in this test.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Proportion","/prəˈpɔː.ʃən/","Tỷ lệ (phần trăm của một tổng thể).","The proportion of elderly people is rising.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Demographic","/ˌdem.əˈɡræf.ɪk/","(Thuộc) Nhân khẩu học/Số liệu dân số.","The chart illustrates demographic changes in three countries.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Projected","/prəˈdʒek.tɪd/","Được dự kiến/dự báo (dùng cho năm tương lai).","The population is projected to reach 100 million by 2050.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Overtake","/ˌəʊ.vəˈteɪk/","Vượt qua (về số lượng/thứ hạng).","Japan is predicted to overtake Sweden in 2030.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Aging population","/ˈeɪ.dʒɪŋ ˌpɒp.jəˈleɪ.ʃən/","Dân số già hóa.","An aging population poses challenges for the healthcare system.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Predict","/prɪˈdɪkt/","Dự đoán.","It is predicted that the trend will continue.","Task 1","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Commence","/kəˈmens/","Bắt đầu (trang trọng hơn Start).","The construction of the bridge will commence next month.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Witness","/ˈwɪt.nəs/","Chứng kiến (dùng mô tả xu hướng).","The period witnessed a dramatic surge in internet usage.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Upward trend","/ˈʌp.wəd trend/","Xu hướng đi lên/tăng.","There has been an upward trend in sales this year.","Task 1","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Dominant","/ˈdɒm.ɪ.nənt/","Chiếm ưu thế, áp đảo (cao nhất).","Google is the dominant search engine worldwide.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Intake","/ˈɪn.teɪk/","Lượng nạp vào (thức ăn).","You should limit your daily intake of sugar.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
